codigo_alimento,descricao_alimento,codigo_preparacao,descricao_preparacao,codigo_medida,descricao_medida,codigo_medida_referencia,descricao_medida_referencia,quantidade_g,codigo_fonte,descricao_fonte,preparacao_normalizada,medida_caseira
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,9,CANECA,12.0,COLHER DE ARROZ/SERVIR,100.0,1.0,Arroz - prato fundo raso,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,10,CANECO,12.0,COLHER DE ARROZ/SERVIR,100.0,1.0,Arroz - prato fundo raso,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,12,COLHER DE ARROZ/SERVIR,12.0,COLHER DE ARROZ/SERVIR,45.0,1.0,Arroz cozido - colher de arroz cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,13,COLHER DE CAFE,12.0,COLHER DE ARROZ/SERVIR,3.1,1.0,Arroz cozido - 1/8 colher de sopa cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,14,COLHER DE CHA,12.0,COLHER DE ARROZ/SERVIR,6.3,1.0,Arroz cozido - 1/4 colher de sopa cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,15,COLHER DE SOBREMESA,12.0,COLHER DE ARROZ/SERVIR,12.5,1.0,Arroz cozido - 1/2 colher de sopa cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,16,COLHER DE SOPA,12.0,COLHER DE ARROZ/SERVIR,25.0,1.0,Arroz cozido - colher de sopa cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,17,CONCHA,12.0,COLHER DE ARROZ/SERVIR,100.0,1.0,Arroz cozido - concha média cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,18,COPO AMERICANO,12.0,COLHER DE ARROZ/SERVIR,100.0,1.0,Arroz - prato fundo raso,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,21,COPO GRANDE,12.0,COLHER DE ARROZ/SERVIR,200.0,1.0,Arroz cozido - prato fundo cheio,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,22,COPO MEDIO,12.0,COLHER DE ARROZ/SERVIR,200.0,1.0,Arroz cozido - prato fundo cheio,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,28,ESCUMADEIRA,12.0,COLHER DE ARROZ/SERVIR,85.0,1.0,Arroz cozido - escumadeira média cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,35,GARFADA,12.0,COLHER DE ARROZ/SERVIR,25.0,1.0,Arroz cozido - colher de sopa cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,68,GRAMA,12.0,COLHER DE ARROZ/SERVIR,1.0,15.0,Grama,,False
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,82,PEGADOR,12.0,COLHER DE ARROZ/SERVIR,25.0,1.0,Arroz cozido - colher de sopa cheia,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,87,PORCAO,12.0,COLHER DE ARROZ/SERVIR,125.0,2.0,Arroz branco cozido - porção Guia Alimentar,,True
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,90,POTE,12.0,COLHER DE ARROZ/SERVIR,100.0,1.0,Arroz - prato fundo raso,,True
